id,question,expected_tool,actual_tool,actual_tools,pass,output_preview
1,订单 ORD20260417001 到哪了,query_order_status,query_order_status,"query_order_status,query_logistics",Y,"您好！您查询的订单 **ORD20260417001**（iPhone 15 Pro）目前状态为**已发货**。

物流单号：**SF1234567890**
最新物流轨迹显示，您的包裹已于 **2026-04-18 14:30** 显示**已签收**。

请问您是否已经收到商品了呢？如果未收到或有"
2,ORD20260417002 发货了吗,query_order_status,query_order_status,query_order_status,Y,"您好！关于您的订单 **ORD20260417002**（AirPods Pro 2），目前的状态是**处理中**，物流显示为**待发货**。

这说明您的订单正在仓库准备中，尚未正式发出。请您耐心等待，一旦发货，系统会为您更新物流信息。如有其他问题，随时联系我！"
3,怎么退款,query_refund_policy,(无),,N,您好！办理退款需要您的订单信息。请您提供一下**订单号**，以便我为您查询订单状态并指导您完成退款流程。
4,我要申请退款，订单 ORD20260417001，七天无理由,process_refund_apply,process_refund_apply,process_refund_apply,Y,"您好，您的退款申请已成功提交！

✅ **退款单号**：REF20260526205241
💰 **退款金额**：¥7,999.00
📦 **订单编号**：ORD20260417001

我们将尽快为您完成审核。审核通过后，款项将原路退回至您的支付账户，预计 **1-3个工作日** 到账。请您留意账"
5,已发货的订单能退款吗,query_refund_policy,query_refund_policy,query_refund_policy,Y,"您好！已发货的订单是**支持退款**的。

具体的退款政策如下：
1.  **时效**：您需要在收到货后申请**拒收**，或者签收后进行**退货**，流程完成后即可退款。
2.  **费用**：退货运费需要由**您自理**。

请问您有具体的订单号需要为您办理退款申请吗？"
6,帮我查一下物流 SF1234567890,query_logistics,query_logistics,query_logistics,Y,"您好，为您查询到物流单号 **SF1234567890** 的最新状态如下：

*   **2026-04-18 14:30**：已签收
*   **2026-04-18 09:15**：派送中

您的包裹已经成功送达。请问还有其他可以帮您的吗？"
7,我的包裹到哪了？物流单号 JD9876543210,query_logistics,query_logistics,query_logistics,Y,"您的包裹（物流单号：JD9876543210）已于 **2026-04-12 16:00** 显示 **已签收**。

如果您还没有收到实物，建议您先检查一下收货地址附近（如门卫、快递柜或代收点），或者联系当地派送员核实。如有其他问题，请随时告诉我！"
8,我有哪些优惠券？用户 ID 是 USER001,query_coupons,query_coupons,query_coupons,Y,"您好！经查询，您的账户（USER001）目前共有 **2 张** 可用优惠券。

请问您需要了解这些优惠券的具体面额、适用商品或有效期吗？或者有什么其他我可以帮您的？"
9,iPhone 的保修政策是什么,query_product_info,query_product_info,query_product_info,Y,"您好！iPhone 目前享受 **1 年全国联保** 服务。

此外，我们还支持 **7 天无理由退货** 政策。如果您在使用过程中遇到任何问题，欢迎随时联系我们！"
10,MacBook 有什么特点,query_product_info,query_product_info,query_product_info,Y,"MacBook 是苹果公司推出的笔记本电脑系列，通常具有以下特点：

1. **轻薄便携**：机身设计紧凑，重量较轻，方便携带。
2. **高性能**：搭载 Apple 自研芯片（如 M 系列芯片），性能强劲且能效比高。
3. **续航出色**：电池续航时间长，适合长时间外出办公或学习。
4. **"
11,我要投诉！服务态度太差了,escalate_to_human,escalate_to_human,escalate_to_human,Y,"非常抱歉给您带来了不好的体验！我已经将您的投诉记录并升级给专业客服团队处理。

您的工单号是：**TKT202605264390**

我们会尽快联系您了解具体情况并解决问题。感谢您的反馈，这能帮助我们改进服务！"
12,这个情况太复杂了，叫人工客服,escalate_to_human,escalate_to_human,escalate_to_human,Y,"好的，已为您提交转人工客服请求。

您的工单号为：**TKT202605263890**

专业的人工客服同事正在排队接入，请您保持在线或留意后续通知，我们会尽快为您处理复杂问题。感谢您的耐心等待！"
13,你好,,(无),,Y,"你好！我是电子产品商城的客服助手。请问有什么我可以帮您的？

您可以咨询订单状态、物流信息、退款政策或产品详情等。"
14,谢谢,,(无),,Y,"不客气！很高兴能为您服务。

如果您后续还有关于订单、产品或物流等方面的疑问，欢迎随时联系我。祝您生活愉快！"
15,订单 ORD99999 存在吗,query_order_status,query_order_status,query_order_status,Y,"您好！经查询，系统中未找到订单号 **ORD99999**。

请您核对一下订单号是否有误，或者确认该订单是否是在本店购买的。如果您能提供正确的订单号，我将随时为您查询详细状态。"
16,退款需要什么条件,query_refund_policy,(无),,N,您好！为了给您提供准确的退款政策，请问您的订单目前处于什么状态呢？（例如：未发货、已发货、已签收等）
17,USER002 的优惠券情况,query_coupons,query_coupons,query_coupons,Y,您好，经查询，用户 USER002 当前暂无可用的优惠券。请问还有其他需要我协助的吗？
18,AirPods 的保修期是多久,query_product_info,query_product_info,query_product_info,Y,AirPods 提供 **1 年全国联保**。如果您在使用过程中遇到任何质量问题，欢迎随时联系我们进行售后处理。
19,帮我查一下物流单号 SF999999999,query_logistics,query_logistics,query_logistics,Y,"您好！经查询，目前系统中未找到物流单号 **SF999999999** 的物流信息。

请您核对一下单号是否输入正确，或者确认该包裹是否已发货。如果您有其他单号需要查询，或需要其他帮助，请随时告诉我！"
20,我要退款，订单 ORD20260417003，质量问题,process_refund_apply,query_order_status,"query_order_status,query_refund_policy,process_refund_apply",Y,"您好！已为您成功提交退款申请。

📝 **退款单号**：REF20260526205559
💰 **退款金额**：¥9,499.00
📦 **退款原因**：质量问题

审核通过后，款项将原路退回。因属质量问题，**退货运费由商家承担**，请您放心。预计 1-3 个工作日内完成审核，结果将通过短信/A"
